Creneau;Type;Equipier1;Equipier2
Cr_5;Bar;ben_85;ben_170
Cr_35;Bar;ben_102;ben_129
Cr_38;Bar;ben_51;ben_113
Cr_56;Bar;ben_29;ben_53
Cr_59;Camping;ben_19;ben_149
Cr_74;Camping;ben_94;ben_180
Cr_81;Camping;ben_44;ben_137
Cr_92;Camping;ben_49;ben_176
Cr_99;Camping;ben_128;ben_193
Cr_103;Camping;ben_72;ben_97
Cr_116;Camping;ben_36;ben_107
Cr_146;Entree;ben_60;ben_125
Cr_147;Entree;ben_138;ben_194
Cr_162;Entree;ben_6;ben_190
Cr_178;Secu;ben_14;ben_169
Cr_184;Secu;ben_82;ben_101
Cr_201;Secu;ben_163;ben_192
Cr_206;Secu;ben_80;ben_121
Cr_207;Secu;ben_122;ben_136
Cr_214;Secu;ben_57;ben_78
Cr_215;Secu;ben_112;ben_172
Cr_233;Secu;ben_153;ben_183
Cr_235;Snack;ben_100;ben_201
Cr_242;Snack;ben_69;ben_198
Cr_261;Snack;ben_10;ben_15
Cr_270;Snack;ben_196;ben_206
Cr_274;Snack;ben_41;ben_83
Cr_280;Snack;ben_52;ben_86
Cr_7;Bar;ben_81;ben_168
Cr_8;Bar;ben_2;ben_28
Cr_29;Bar;ben_59;ben_191
Cr_34;Bar;ben_45;ben_64
Cr_50;Bar;ben_77;ben_178
Cr_60;Camping;ben_140;ben_203
Cr_65;Camping;ben_142;ben_199
Cr_70;Camping;ben_32;ben_143
Cr_80;Camping;ben_47;ben_174
Cr_90;Camping;ben_24;ben_98
Cr_96;Camping;ben_70;ben_132
Cr_97;Camping;ben_108;ben_141
Cr_104;Camping;ben_16;ben_50
Cr_148;Entree;ben_33;ben_43
Cr_150;Entree;ben_55;ben_66
Cr_156;Entree;ben_26;ben_58
Cr_165;Entree;ben_87;ben_154
Cr_177;Secu;ben_4;ben_158
Cr_179;Secu;ben_63;ben_181
Cr_185;Secu;ben_147;ben_182
Cr_186;Secu;ben_79;ben_177
Cr_188;Secu;ben_8;ben_110
Cr_191;Secu;ben_67;ben_131
Cr_193;Secu;ben_188;ben_189
Cr_209;Secu;ben_167;ben_197
Cr_212;Secu;ben_93;ben_103
Cr_225;Secu;ben_25;ben_54
Cr_227;Secu;ben_126;ben_185
Cr_228;Secu;ben_119;ben_164
Cr_231;Secu;ben_156;ben_173
Cr_234;Secu;ben_62;ben_89
Cr_239;Snack;ben_175;ben_187
Cr_241;Snack;ben_145;ben_152
Cr_245;Snack;ben_39;ben_99
Cr_248;Snack;ben_106;ben_109
Cr_255;Snack;ben_95;ben_165
Cr_266;Snack;ben_34;ben_91
Cr_2;Bar;ben_20;ben_151
Cr_14;Bar;ben_30;ben_205
Cr_19;Bar;ben_74;ben_88
Cr_31;Bar;ben_92;ben_160
Cr_37;Bar;ben_114;ben_202
Cr_51;Bar;ben_68;ben_73
Cr_54;Bar;ben_12;ben_184
Cr_55;Bar;ben_31;ben_38
Cr_95;Camping;ben_76;ben_123
Cr_107;Camping;ben_37;ben_162
Cr_117;Entree;ben_3;ben_171
Cr_119;Entree;ben_133;ben_135
Cr_126;Entree;ben_21;ben_146
Cr_137;Entree;ben_105;ben_124
Cr_139;Entree;ben_104;ben_159
Cr_140;Entree;ben_5;ben_18
Cr_141;Entree;ben_23;ben_71
Cr_142;Entree;ben_111;ben_179
Cr_164;Entree;ben_161;ben_186
Cr_189;Secu;ben_56;ben_75
Cr_190;Secu;ben_9;ben_61
Cr_195;Secu;ben_134;ben_204
Cr_198;Secu;ben_7;ben_22
Cr_222;Secu;ben_48;ben_166
Cr_236;Snack;ben_1;ben_115
Cr_244;Snack;ben_11;ben_195
Cr_271;Snack;ben_17;ben_35
Cr_20;Bar;ben_90;ben_150
Cr_28;Bar;ben_27;ben_157
Cr_32;Bar;ben_116;ben_130
Cr_61;Camping;ben_42;ben_46
Cr_66;Camping;ben_155;ben_200
Cr_71;Camping;ben_120;ben_148
Cr_77;Camping;ben_40;ben_144
Cr_85;Camping;ben_84;ben_127
Cr_87;Camping;ben_65;ben_139
Cr_88;Camping;ben_13;ben_117
Cr_93;Camping;ben_96;ben_118
Valeur objectif;934121
